ALC_ADJ;Lorrainese;Lorrainese;Lorrainese;;;;;;;;;;;x;
ALC;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_proletarian_dictatorship;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_presidential_dictatorship;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_bourgeois_dictatorship;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_fascist_dictatorship;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_absolute_monarchy;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_prussian_constitutionalism;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_hms_government;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_democracy;Lorraine & Bar;Lorraine & Bar;Lorraine & Bar;;;;;;;;;;;x;
ALC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ALC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ALC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ALC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ALC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ALC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ALC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ALC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ALC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
