VER_ADJ;Verdunese;Verdunese;Verdunese;;;;;;;;;;;x;
VER;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_proletarian_dictatorship;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_presidential_dictatorship;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_bourgeois_dictatorship;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_fascist_dictatorship;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_absolute_monarchy;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_prussian_constitutionalism;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_hms_government;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_democracy;Verdun;Verdun;Verdun;;;;;;;;;;;x;
VER_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
VER_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
VER_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
VER_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
VER_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
VER_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
VER_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
VER_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
VER_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
