MER_ADJ;Mercian;Mercian;Mercian;;;;;;;;;;;x;
MER;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_proletarian_dictatorship;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_presidential_dictatorship;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_bourgeois_dictatorship;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_fascist_dictatorship;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_absolute_monarchy;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_prussian_constitutionalism;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_hms_government;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_democracy;Mercia;Mercia;Mercia;;;;;;;;;;;x;
MER_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MER_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MER_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MER_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MER_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MER_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MER_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MER_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MER_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
