MAY_ADJ;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_proletarian_dictatorship;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_presidential_dictatorship;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_bourgeois_dictatorship;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_fascist_dictatorship;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_absolute_monarchy;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_prussian_constitutionalism;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_hms_government;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_democracy;Mayan;Mayan;Mayan;;;;;;;;;;;x;
MAY_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MAY_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MAY_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MAY_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MAY_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MAY_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MAY_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MAY_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MAY_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
