AQU_ADJ;Aquitainian;Aquitainian;Aquitainian;;;;;;;;;;;x;
AQU;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_proletarian_dictatorship;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_presidential_dictatorship;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_bourgeois_dictatorship;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_fascist_dictatorship;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_absolute_monarchy;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_prussian_constitutionalism;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_hms_government;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_democracy;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;x;
AQU_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AQU_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AQU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AQU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AQU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AQU_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AQU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AQU_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AQU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
